species_name,latitude,longitude,coordinate_uncertainty
Fraxinus excelsior,54.907111,-2.021792,240.0
Fraxinus excelsior,52.480104000000004,-2.100056,8.0
Populus tremula,53.536956999999994,-2.409776,5.0
Populus tremula,53.841414,-2.48466,22.0
Populus tremula,51.588759,-0.06854099999999999,34.0
Populus tremula,53.009701,-4.100126,250.0
Populus tremula,52.64943,-0.6896,100.0
Populus tremula,52.5146,-1.28608,10.0
Populus tremula,51.90483,0.911325,48.0
Populus tremula,53.430878,-2.676545,16.0
Populus tremula,51.06268,0.7337600000000001,10.0
Populus tremula,51.05814,0.73149,10.0
Populus tremula,52.64275,-1.13761,100.0
Populus tremula,52.65616,-1.127,100.0
Populus tremula,52.671319999999994,-1.11043,100.0
Populus tremula,51.384861,-2.367265,5.0
Populus tremula,51.384859999999996,-2.367398,5.0
Populus tremula,50.984101,-0.159553,16.0
Populus tremula,52.48481999999999,-2.3769400000000003,1000.0
Populus tremula,53.699512,-2.637039,5.0
Populus tremula,51.595307,-0.429021,32.0
Populus tremula,51.145982000000004,-2.7027639999999997,4.0
Populus tremula,52.64804,-1.12886,10.0
Populus tremula,53.25724,-3.87526,10000.0
Populus tremula,52.742541,-1.547561,24.0
Populus tremula,52.071155,-1.334851,31.0
Populus tremula,51.957696,-3.3977480000000004,8.0
Populus tremula,57.334407999999996,-3.621125,6.0
Populus tremula,51.957049,-3.397168,8.0
Populus tremula,53.551973,-2.89616,7.0
Populus tremula,55.241133,-2.62899,37.0
Populus tremula,52.72339,-0.5556,100.0
Populus tremula,52.75294,-1.55918,100.0
Populus tremula,53.341347,-2.773507,7.0
Populus tremula,51.074346999999996,0.455812,48.0
Populus tremula,53.348236,-2.764165,2.0
Populus tremula,53.347184999999996,-2.7666560000000002,8.0
Populus tremula,53.424216,-2.81522,2.0
Populus tremula,53.423862,-2.8149889999999997,8.0
Populus tremula,53.423765,-2.815123,4.0
Populus tremula,53.381145999999994,-2.737906,2.0
Populus tremula,53.423933,-2.814981,8.0
Populus tremula,50.658158,-2.601162,5.0
Populus tremula,53.334106000000006,-2.6913650000000002,2.0
Populus tremula,53.334097,-2.691329,2.0
Populus tremula,53.33408000000001,-2.691309,2.0
Populus tremula,53.33420699999999,-2.6917619999999998,2.0
Populus tremula,53.334154000000005,-2.691497,4.0
Populus tremula,54.513659999999994,-3.3351629999999997,88.0
Populus tremula,51.936052000000004,1.182649,119.0
Populus tremula,53.1768,-3.12359,10000.0
Populus tremula,54.513852,-3.336097,88.0
Populus tremula,52.59114,-1.08844,100.0
Populus tremula,52.742059999999995,-1.53263,100.0
Populus tremula,52.73838000000001,-1.51193,100.0
Populus tremula,52.95111,-2.64889,1000.0
Populus tremula,55.60037,-5.19625,1.0
Populus tremula,52.63782,-1.20421,100.0
Populus tremula,51.72911,0.5688,1000.0
Populus tremula,52.65367,-2.77752,1000.0
Populus tremula,52.61036,-2.4666200000000003,1000.0
Populus tremula,51.441309999999994,-2.5265400000000002,1000.0
Populus tremula,56.039590000000004,-4.369190000000001,1000.0
Populus tremula,52.580580000000005,-1.24952,100.0
Populus tremula,52.14315,-0.0427,10.0
Populus tremula,53.08693,-3.12125,10000.0
Populus tremula,52.752919999999996,-2.72002,1000.0
Populus tremula,52.38454,-2.6846200000000002,1000.0
Populus tremula,56.537769999999995,-4.15625,1000.0
Populus tremula,52.646930000000005,-1.2217799999999999,100.0
Populus tremula,52.6258,-1.0773,10.0
Populus tremula,52.660309999999996,-1.20528,100.0
Populus tremula,54.222319999999996,-4.44799,1000.0
Populus tremula,52.40868,-3.0672200000000003,1000.0
Populus tremula,55.268840000000004,-2.8277799999999997,1000.0
Populus tremula,55.975840000000005,-3.1793299999999998,1000.0
Populus tremula,52.79249,-1.3600700000000001,100.0
Populus tremula,52.60049,-1.10574,10.0
Populus tremula,52.65316,-0.70131,100.0
Populus tremula,52.6165,-1.2429999999999999,100.0
Populus tremula,52.7448,-1.54445,100.0
Populus tremula,56.596334999999996,-3.885797,8.0
Populus tremula,51.477447,-0.229404,15.0
Fagus sylvatica,53.297540000000005,-4.592678,8.0
Fagus sylvatica,54.19031999999999,-5.8939330000000005,175.0
Fagus sylvatica,53.546043000000004,-2.570105,8.0
Fagus sylvatica,53.43448000000001,-2.811509,48.0
Fagus sylvatica,52.952729000000005,-1.111688,10.0
Fagus sylvatica,51.894982,-2.440354,20.0
Fagus sylvatica,56.185782999999994,-4.050339,8.0
Fagus sylvatica,53.377616,-2.937025,1.0
Fagus sylvatica,53.70936,-2.666137,2.0
Fagus sylvatica,53.446543000000005,-2.768129,4.0
Fagus sylvatica,53.734766,-2.666874,4.0
Fagus sylvatica,54.133023,-2.492653,65.0
Fagus sylvatica,51.408511,-2.237925,6.0
Fagus sylvatica,53.376535,-1.490851,24.0
Fagus sylvatica,54.621244,-5.837478,10.0
Fagus sylvatica,53.74284300000001,-2.66357,15.0
Fagus sylvatica,53.736454,-2.667866,2.0
Fagus sylvatica,52.466862,-2.074114,4.0
Fagus sylvatica,52.48034200000001,-2.100849,31.0
Fagus sylvatica,52.607986,-2.1443779999999997,171.0
Fagus sylvatica,53.84649399999999,-2.486927,19.0
Fagus sylvatica,53.71983,-2.7011979999999998,2.0
Fagus sylvatica,51.750678,-1.1799629999999999,4.0
Fagus sylvatica,53.598172,-2.81413,24.0
Fagus sylvatica,53.377836,-2.891241,1.0
Fagus sylvatica,53.72008,-2.7021450000000002,4.0
Fagus sylvatica,53.3704,-2.877008,8.0
Fagus sylvatica,53.362363,-2.784016,4.0
Fagus sylvatica,50.857048,-0.018071,65.0
Fagus sylvatica,53.379191000000006,-2.893732,1.0
Fagus sylvatica,57.079178000000006,-5.963963,27.0
Fagus sylvatica,53.380759,-2.8971869999999997,1.0
Fagus sylvatica,52.749789,-1.586462,6.0
Fagus sylvatica,53.636359,-2.6248549999999997,834.0
Fagus sylvatica,53.71991,-2.688446,4.0
Fagus sylvatica,53.380736,-2.8968830000000003,1.0
Fagus sylvatica,54.372417000000006,-3.087175,5.0
Fagus sylvatica,53.633357999999994,-2.857846,162.0
Fagus sylvatica,51.525597,-1.153905,20.0
Fagus sylvatica,57.079696999999996,-5.964705,13.0
Fagus sylvatica,53.639492000000004,-2.8316369999999997,8.0
Fagus sylvatica,50.984507,-2.753793,46.0
Fagus sylvatica,51.408115,-2.232924,8.0
Fagus sylvatica,53.380927,-2.870751,8.0
Fagus sylvatica,53.355095999999996,-3.033586,64.0
Fagus sylvatica,53.381432,-2.871969,1.0
Fagus sylvatica,54.62923000000001,-5.826232,5.0
Fagus sylvatica,50.958055,0.355659,32.0
Fagus sylvatica,54.649834999999996,-1.745507,5.0
Fagus sylvatica,54.62877099999999,-5.826361,10.0
Fagus sylvatica,53.381164,-2.871775,8.0
Fagus sylvatica,50.148379,-5.099038,8.0
Fagus sylvatica,53.388375,-2.882287,17.0
Fagus sylvatica,52.48433299999999,-2.102401,15.0
Fagus sylvatica,51.408083000000005,-2.232891,16.0
Fagus sylvatica,54.628834,-5.82629,5.0
Fagus sylvatica,52.158583,0.19146400000000002,10.0
Fagus sylvatica,52.157759999999996,0.19078599999999998,14.0
Fagus sylvatica,52.48165899999999,-2.0996099999999998,4.0
Fagus sylvatica,53.556376,-2.302196,8.0
Fagus sylvatica,53.827413,-2.518714,58.0
Fagus sylvatica,53.881604,-2.3958209999999998,16.0
Fagus sylvatica,54.830672,-2.2343990000000002,6.0
Fagus sylvatica,50.423524,-3.9679620000000004,32.0
Fagus sylvatica,51.665844,0.041213,22.0
Fagus sylvatica,53.636764,-2.623897,7.0
Fagus sylvatica,51.661668,0.039624,22.0
Fagus sylvatica,53.60694300000001,-2.4332409999999998,32.0
Fagus sylvatica,52.44943000000001,-2.153101,8.0
Fagus sylvatica,52.504014,-2.080361,5.0
Fagus sylvatica,54.868497999999995,-2.950478,52.0
Fagus sylvatica,51.769531,-0.306209,32.0
Fagus sylvatica,53.391268999999994,-2.8816650000000004,439.0
Fagus sylvatica,51.488271999999995,-0.21463200000000002,65.0
Fagus sylvatica,52.89230500000001,-1.145118,6.0
Fagus sylvatica,51.324049,-2.888909,164.0
Betula pubescens,53.633883,-2.627047,5.0
Betula pubescens,50.867593,-1.559566,10.0
Betula pubescens,53.619698,-3.0359220000000002,202.0
Betula pubescens,57.1684,-5.317819999999999,1000.0
Betula pubescens,57.49188,-3.92596,10.0
Betula pubescens,57.071509999999996,-4.12402,10.0
Betula pubescens,54.375440000000005,-2.45186,10.0
Betula pubescens,51.54786,-0.54243,10.0
Betula pubescens,57.07251,-4.12309,10.0
Betula pubescens,56.20365,-4.74315,10.0
Betula pubescens,57.497319999999995,-3.93459,10.0
Betula pubescens,56.20381999999999,-4.7559,10.0
Betula pubescens,52.93048,1.12669,10.0
Betula pubescens,52.92975,1.13065,10.0
Betula pubescens,57.16356,-3.17861,10.0
Betula pubescens,52.76886,1.19812,10.0
Betula pubescens,56.2055,-4.75295,10.0
Betula pubescens,56.767540000000004,-5.05685,10.0
Betula pubescens,52.38195,-1.60086,10.0
Betula pubescens,57.655730000000005,-3.58485,10.0
Betula pubescens,57.324259999999995,-3.6032699999999998,10.0
Betula pubescens,51.53508,-3.4795599999999998,10.0
Betula pubescens,51.536359999999995,-3.47758,10.0
Betula pubescens,53.423643999999996,-2.814667,2.0
Betula pubescens,50.31817,-3.61323,10.0
Betula pubescens,53.385309,-2.9386759999999996,8.0
Betula pubescens,53.422940000000004,-2.786875,4.0
Betula pubescens,53.404425,-2.876863,1.0
Betula pubescens,53.386874,-2.723955,2.0
Betula pubescens,51.19005,-3.60872,10.0
Betula pubescens,52.7338,-1.3135299999999999,100.0
Betula pubescens,52.657880000000006,-1.24672,100.0
Betula pubescens,56.39144,-5.12022,1000.0
Betula pubescens,56.39185,-5.10405,1000.0
Betula pubescens,56.400819999999996,-5.10478,1000.0
Betula pubescens,56.7102,-4.95046,1000.0
Betula pubescens,56.45175,-5.22256,1000.0
Betula pubescens,56.46155,-5.190919999999999,1000.0
Betula pubescens,56.452169999999995,-5.20637,1000.0
Betula pubescens,56.452580000000005,-5.190169999999999,1000.0
Betula pubescens,56.21362,-5.04122,1000.0
Betula pubescens,56.29555,-4.999230000000001,1000.0
Betula pubescens,53.25724,-3.87526,10000.0
Betula pubescens,53.263459999999995,-3.4257199999999997,10000.0
Betula pubescens,52.95111,-2.64889,1000.0
Betula pubescens,55.60955,-5.20613,1.0
Betula pubescens,55.60086,-5.20327,1.0
Betula pubescens,55.60358000000001,-5.20027,1.0
Betula pubescens,55.598009999999995,-5.21058,1.0
Betula pubescens,55.6015,-5.204359999999999,1.0
Betula pubescens,56.780269999999994,-3.8173199999999996,10.0
Betula pubescens,52.926190000000005,-2.39764,10.0
Betula pubescens,57.61768000000001,-4.0889999999999995,10.0
Betula pubescens,57.61751999999999,-4.09317,10.0
Betula pubescens,54.448859999999996,-1.03911,10.0
Betula pubescens,56.46581,-5.36991,1000.0
Betula pubescens,56.46536999999999,-5.3861099999999995,1000.0
Betula pubescens,56.477380000000004,-5.27347,1000.0
Betula pubescens,56.02599,-4.99434,1000.0
Betula pubescens,51.72911,0.5688,1000.0
Betula pubescens,52.57578,0.56858,100.0
Betula pubescens,53.84799,-1.05148,1000.0
Betula pubescens,52.6103,-2.48139,1000.0
Betula pubescens,52.87579,-3.10837,1000.0
Betula pubescens,56.4895,-4.299119999999999,1.0
Betula pubescens,51.296440000000004,1.03283,10.0
Betula pubescens,51.32719,-0.82214,10.0
Betula pubescens,57.801469999999995,-4.23324,10.0
Betula pubescens,51.29752,1.0327600000000001,10.0
Betula pendula,53.451439,-2.637572,20.0
Betula pendula,51.502516,-2.544184,6.0
Betula pendula,52.230278000000006,1.270623,54.0
Betula pendula,52.984393000000004,-1.137834,10.0
Betula pendula,53.627363,-2.646704,31.0
Betula pendula,51.850542,-1.228675,9.0
Betula pendula,53.50668,-2.5468349999999997,8.0
Betula pendula,54.622935,-5.831878,5.0
Betula pendula,52.487937,-2.100002,15.0
Betula pendula,53.59712,-2.831337,24.0
Betula pendula,53.355624,-2.8453470000000003,1.0
Betula pendula,53.605697,-2.8415529999999998,32.0
Betula pendula,53.622558,-2.862717,263.0
Betula pendula,50.98192,-2.751109,67.0
Betula pendula,53.832603000000006,-2.472014,12.0
Betula pendula,52.59050799999999,-2.141861,392.0
Betula pendula,52.453208,-1.9634939999999999,8.0
Betula pendula,51.235358000000005,-1.4707,5.0
Betula pendula,52.56541,-1.858573,3463.0
Betula pendula,52.463997,-1.950233,8.0
Betula pendula,55.748679,-4.17849,11.0
Betula pendula,51.663763,0.042218,22.0
Betula pendula,52.989084,-1.1462510000000001,9.0
Betula pendula,52.481928,-2.100016,5.0
Betula pendula,52.578793000000005,-2.084365,65.0
Betula pendula,54.830847999999996,-2.233901,4.0
Betula pendula,51.664023,0.041187,357.0
Betula pendula,53.391268999999994,-2.8816650000000004,439.0
Betula pendula,51.479265000000005,-2.548742,5.0
Betula pendula,55.811868000000004,-4.174676,384.0
Betula pendula,53.56616700000001,-2.646975,165.0
Betula pendula,57.050914,-2.496912,65.0
Betula pendula,52.951919,-1.185346,1052.0
Betula pendula,52.419517,-1.876294,5.0
Betula pendula,52.600754,-2.139662,783.0
Betula pendula,52.575681,-2.076581,65.0
Betula pendula,52.454653,-2.027036,214.0
Betula pendula,51.662366,0.039825,22.0
Betula pendula,51.468803,-2.630538,4.0
Betula pendula,53.44108000000001,-2.3306150000000003,1919.0
Betula pendula,52.45080600000001,-2.1707419999999997,4.0
Betula pendula,52.985027,-1.143945,61.0
Betula pendula,52.443204,-1.887535,31.0
Betula pendula,52.441724,-2.044884,32.0
Betula pendula,52.950713,-1.0933979999999999,386.0
Betula pendula,52.947768999999994,-1.131459,22.0
Betula pendula,52.481595999999996,-2.097528,4.0
Betula pendula,53.435322,-2.2953349999999997,526.0
Betula pendula,53.563401,-2.8927680000000002,31.0
Betula pendula,52.657878000000004,1.314188,65.0
Betula pendula,53.84641800000001,-2.504665,10.0
Betula pendula,53.832688,-2.4719889999999998,12.0
Betula pendula,53.572089,-3.068704,22.0
Betula pendula,51.990584000000005,-2.1589509999999996,3.0
Betula pendula,52.64139,-2.6539,100.0
Betula pendula,56.697844999999994,-4.865558,4.0
Betula pendula,52.64943,-0.6896,100.0
Betula pendula,52.733309999999996,-1.53754,10.0
Betula pendula,53.140275,-4.259519,5.0
Betula pendula,51.556869,-0.150616,8.0
Betula pendula,53.63679200000001,-2.838825,6.0
Betula pendula,52.730380000000004,-1.24643,10.0
Betula pendula,53.356603,-3.034553,4.0
Betula pendula,53.434523,-3.048984,3.0
Betula pendula,51.59507,-0.357138,10.0
Betula pendula,53.332522,-2.961106,8.0
Betula pendula,53.410953000000006,-2.812002,30.0
Betula pendula,51.478429999999996,-2.544895,50.0
Betula pendula,53.403780000000005,-2.876733,6.0
Betula pendula,51.662279,0.050929,20.0
Betula pendula,51.529457,-0.157947,16.0
Betula pendula,55.022881000000005,-1.595604,5.0
Betula pendula,51.455071999999994,-0.393083,5.0
Betula pendula,55.023095,-1.597566,10.0
Betula pendula,53.458836,-2.230844,74.0
Betula pendula,53.415866,-2.8351830000000002,189.0
